SP22-FSN-B8,Introduction to Computing,1,1,EE Dr Talha Younas,C3
SP22-FSN-B8,Introduction to Food Sciences and Nutrition,1,100,BI Dr Wasim,C1.2
SP22-FSN-B8,Mathematics I,1,1000,MT Dr Sabir,B14
FA21-FSN-B7,Food Saftey and Security,1,10000,BI Ms Tamsila,C1.1
FA21-FSN-B7,Introduction to Food Chemistry,1,1,BI Adnan Tahir,C1.3
FA21-FSN-B7,Food Saftey and Security,1,1000,BI Ms Tamsila,C2.4
FA21-FSN-B7,Pakistan Studies,1,100,MS Mr M Zia Hassan,B10
FA21-FSN-B7,Cereal Science,1,10,FSN MS Ruhsha Fatima,FSN Lab
SP21-FSN-B6,Communication Skills,1,110,MS Mr M Badar Iqbal,B12
SP21-FSN-B6,Food Analysis,1,1000,FSN MS Anum,Bio Lab
FA20-FSN-B5-A,Confectionery and Snack Food,1,100,FSN MS Summar,W2
FA20-FSN-B5-A,Confectionery and Snack Food,1,10000,FSN MS Summar,FSN Lab
FA20-FSN-B5-B,Confectionery and Snack Food,1,100,FSN MS Oswa,C2.3
FA20-FSN-B5-B,Nutritional Quality Management,1,10000,BI Dr Wasim,W1
FA20-FSN-B5-B,Confectionery and Snack Food,1,1000,FSN MS Oswa,FSN Lab
SP20-FSN-B4,Sensory Evaluation of Foods,1,10000,FSN MS Anum,C5
SP20-FSN-B4,Poultry and egg processing,1,10,FSN Ms Zahra,Bio Lab
FA19-FSN-B3-A,Metabolism,1,1,BI Dr Hammad,C2.2
FA19-FSN-B3-A,Food Analysis,1,10,FSN MS Oswa,W3
FA19-FSN-B3-A,Nutritional Counselling,1,10000,FSN Ammara Ishtiaq,Bio Lab
FA19-FSN-B3-B,Nutritional Counselling,1,100,BI Adnan Tahir,C2.2
SP19-FSN-B2-A,Sugar and Beverage Technology,1,1000,FSN MS Summar,B6
SP19-FSN-B2-A,Processing of Fruits and Vegetables,1,10000,FSN MS Ammara,W4
SP19-FSN-B2-A,Food Microbiology,1,101,FSN Ms Zahra,FSN Lab
SP19-FSN-B2-B,Functional and Nutraceutical Foods,1,10,BI Mr Saad,C1
SP19-FSN-B2-B,Functional and Nutraceutical Foods,1,10000,BI Mr Saad,C2.3
SP19-FSN-B2-B,Processing of Fruits and Vegetables,1,1000,FSN MS Ammara,B7
SP19-FSN-B2-B,Sugar and Beverage Technology,1,100,FSN Ms Maha,Bio Lab
SP19-FSN-B2-B,Processing of Fruits and Vegetables,1,1,FSN MS Ammara,Bio Lab
SP22-BS(SE)-1-A,Mathematics I,1,10000,ME Mr. Zafar,C1
SP22-BS(SE)-1-A,English Comprehesion and Composition,1,10,CVE Ms. Saima Batool,C5
SP22-BS(SE)-1-A,Pakistan Studies,1,100,CVE Engr. Khadim Hussain,C1.4
SP22-BS(SE)-1-A,English Comprehesion and Composition,1,1,CVE Ms. Saima Batool,A2.2
SP22-BS(SE)-1-A,Applied Physics for Engineers,1,1000,EE Mr. Ahsan,Physics Lab
FA21-BS(SE)-2-A,Multivariable Calculus,1,1000,MT Dr. Afshan,B3
FA21-BS(SE)-2-A,Multivariable Calculus,1,100,MT Dr. Afshan,B9
FA21-BS(SE)-2-A,Programming Fundamentals,1,10000,CS Mr. Usman Ali,C Lab2
FA21-BS(SE)-2-A,Communication Skills,1,10,EE Ms. Sabeen,A2.8
FA21-BS(SE)-2-B,Professional Practices for IT,1,1000,CS Mr. Usman Nasir,A1
FA21-BS(SE)-2-B,Communication Skills,1,10000,EE Ms. Sabeen,A1.3
FA21-BS(SE)-2-B,Multivariable Calculus,1,10,MT Dr. Afshan,A1.3
FA21-BS(SE)-2-B,Communication Skills,1,100,EE Ms. Sabeen,W3
FA21-BS(SE)-2-C,Multivariable Calculus,1,1,MT Dr. Afshan,A1.1
FA21-BS(SE)-2-C,Communication Skills,1,1000,EE Ms. Sabeen,A1.3
FA21-BS(SE)-2-C,Professional Practices for IT,1,10,CS Mr. Usman Nasir,W2
FA21-BS(SE)-2-C,Programming Fundamentals,1,100,CS Mr. Usman Ali,C Lab2
SP21-BS(SE)-3-A,Digital Logic Design,1,10000,EE Dr. Saeeda,C3
SP21-BS(SE)-3-A,Data Communications and Computer Networks,1,100,EE Dr Saqlain,A3
SP21-BS(SE)-3-A,Object Oriented Programming,1,10,CS Mr Shafqat Ali,C Lab2
SP21-BS(SE)-3-A,Introduction to SE,1,1000,CS Ms. Aniqa Khawar,C lab5
FA20-BS(SE)-4-A,Data Structures and Algorithms,1,1000,CS Mr. Zafar Iqbal Roy,C5
FA20-BS(SE)-4-A,Data Structures and Algorithms,1,10000,CS Mr. Zafar Iqbal Roy,C2.4
FA20-BS(SE)-4-A,Database System - I,1,10,CS Mr. Tariq Rafiq,W1
FA20-BS(SE)-4-A,Database System - I,1,1,CS Sharmeen Mahmood,C Lab2
FA20-BS(SE)-4-A,Database System - I,1,100,CS Sharmeen Mahmood,C Lab3
FA20-BS(SE)-4-B,Differential Equations,1,100,MT Dr. Sami Ullah,B13
FA20-BS(SE)-4-B,Object Oriented SE,1,1000,CS MS Rabail Asghar,C Lab2
